"Search products...","Recherche de produits"
"View Cart","Voir le panier"
"View cart","Voir le panier"
"All Categories","Catégories"
"On Sale","En Offre"
"You may like this products","Vous aimerez peut-être ces produits"
"Billing address information","Adresse de facturation"
"Write your request here","Écrivez votre demande ici"
"What's your request?","Quelle est votre demande ?"
"Your Dashboard","Zone d'utilisation"
"More Categories","Autres catégories"
"Close Menu","Fermer le menu"
"You have logged in succesfully. You will be redirected to the page you were browsing in 5 seconds.","Vous vous êtes connecté avec succès. Vous serez redirigé vers la page sur laquelle vous étiez en train de naviguer dans 5 secondes."
"You are logged in","Vous êtes connecté"
"Data sheet","Fiche technique"
"Item was removed successfully.","Article supprimé correctement."
"%1 is only sold with quantity is %2. Please update your cart items!","%1 peut être acheté par blocs de %2 unités ou par sommes d'unités."
"%1 is only bought at most %2.","%1 ne doit pas dépasser %2 pièces."
"Cancel","Annuler"
"Foreign resellers and particular countries must ask for a quotation in order to ship the items.","Pour les détaillants étrangers et pour certains pays, il est nécessaire de demander un devis pour les frais d'expédition."
"Resellers will pay PayPal commission separately.","Les détaillants paieront les commissions PayPal séparément."
"Select product quantity","Choisir la quantité du produit"
"Foreign resellers","Détaillants étrangers"
" and "," et "
"some countries","certains pays"
" must ask for a quotation in order to ship the items."," demander un devis pour les frais d'expédition."
"Cash On Delivery Fee","Paiement de la surtaxe à la livraison"
"You must set your address information in order to proceed.","Vous devez saisir votre adresse avant de pouvoir continuer."
"Please fill all the required fields.","Veuillez remplir tous les champs obligatoires."
"If you can't log in, try recovering your password by clicking the link below ""Forgot Your Password?"".","Si vous ne parvenez pas à vous connecter, essayez de récupérer votre mot de passe en cliquant sur le lien ci-dessous ''Mot de passe oublié ?"
"Ship here","Envoyer ici"
"First character must be letter.","Le premier caractère doit être une lettre."
"New Shipping Address","Ajouter une adresse de livraison"
Approved,Approuvé
"Not Approved","Non approuvé"
"Customer account has been approved!","Compte client approuvé !"
"Customer account has not been approved!","Compte client rejeté !"
"A total of %1 record(s) were updated.","Les entrées %1 ont été mises à jour."
"Customer does not exist.","Le client n'existe pas."
Other,"Plus d'informations"
"Edit Customer","Changer de client"
"Module is not enabled for the website of this customer","Le formulaire n'est pas actif sur le site du client"
"Approval Status:","Statut d'approbation :"
"Your account on %store_name has been approved","Votre compte sur %store_name a été approuvé"
"%name,","%name,"
"Congratulations! Your account has been <strong>approved</strong>","Félicitations ! Votre compte a été <strong>approuvé</strong>"
"From now on, you can surf our website to explore a lot of interesting things with your account information as below:","Vous pouvez accéder au site en vous connectant avec les identifiants suivants :"
Name:,Nom:
"The one you set when you registered your account","Celui défini lors de la création du compte"
"To sign in to our site, use these credentials during checkout or on the <a href=""%customer_url"">My Account</a> page:","Pour accéder au site, rendez-vous à la page <a href=""%customer_url"">Mon compte</a>."
"Thanks,<br>%store_name","Merci de votre attention,<br>%store_name"
"Your account on %store_name has not been approved.","Votre compte sur %store_name n'a pas été approuvée."
"Thank you for registering your account at our website. Unfortunately, we <strong>cannot accept</strong> your account.","Merci de vous inscrire. Malheureusement, <strong>nous ne pouvons pas accepter</strong> votre compte."
"Please contact us for more information.","Vous pouvez nous contacter pour plus d'informations."
"A new account from %store_name has been registered.","Un nouveau compte enregistré sur %store_name."
Hi,Bonjour
"A new account has just been registered with the following details:","Un nouveau compte vient d'être enregistré avec les informations d'identification suivantes :"
"Please go to Customer Management section to confirm the approval for this account.","Accédez à la section de gestion des clients pour confirmer ou rejeter ce compte."
"Thanks,","Merci,"
"Your account on %store_name has been created successful.","Votre compte chez %store_name a été créé avec succès."
"Your account has been set in pending status. However, the account need the <strong>approval</strong> before login. We hope for your kind waiting.","Votre compte est en cours d'examen. Nécessite une <strong>approbation</strong> pour être utilisé. Nous vous remercions de votre patience."
"Please contact us if you have any questions.","Contactez-nous pour tout problème."
"If yes, customers will be approved when registering from the frontend","Si oui, les clients seront approuvés lorsqu'ils s'enregistreront à partir du frontend."
"Enter your comment...","Insérer un commentaire..."
"All Brands","Toutes les marques"
"Search Brand","Recherche de marques"
"en-GB","fr-FR"
"Create Account","Créer un compte"
"We don't have as many quantity as you requested, but we'll back order the remaining %1.","Nous n'avons pas assez d'unités en stock, nous expédierons dès que les %1 unités restantes seront disponibles."
"Estimate shipping cost","Estimation des frais d'expédition"
"Estimate","Estimation"
"Free","Gratuit"
"Courier","Courrier"
"Int. courier","Courrier int."
"Quotation after order","Citation dans l'ordre suivant"
"Orders placed between <strong>August 6th</strong> and <strong>17th</strong> included will be shipped starting from <strong>August 19th</strong>.","Gli ordini effettuati tra il <strong>6</strong> e il <strong>17 agosto</strong> inclusi verranno evasi a partire dal <strong>19 agosto</strong>."
"We remind you that orders placed between August 6th and 17th included will be shipped starting from August 19th.","Veuillez noter que les commandes passées entre le 6 et le 17 août inclus seront traitées à partir du 19 août."
"Select Option ...","Sélectionner des options"
"This is a required field","Ce champ est obligatoire"
"This is a required field.","Ce champ est obligatoire."
"Already have an account? Click here to login","Vous avez déjà un compte ?"
"You already have an account with us.","Vous avez déjà un compte avec nous."
"or continue as guest.","ou continuer en tant qu'invité."
"Sorry, no quotes are available for this order at this time","Désolé, il n'y a actuellement aucun devis disponible pour cette commande",module,Magetop_Osc
"Sorry, no quotes are available for this order at this time","Désolé, il n'y a actuellement aucun devis disponible pour cette commande",module,Magento_Checkout
"Sorry, no quotes are available for this order at this time","Désolé, il n'y a actuellement aucun devis disponible pour cette commande",module,Magento_NegotiableQuote
